,Name,Age,Batting Style,Bowling Style,Playing Order,Photo
0,Mohammad Aadil Alam,20,Right hand Bat,Right arm Medium,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
1,Aakash Chand,19,Right hand Bat,Right arm Medium,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
2,Aarif Sheikh,26,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/349200/349282.png"
3,Aasif Sheikh,22,Right hand Bat,Unknown,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330462.png"
4,DS Airee,24,Right hand Bat,Right arm Medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330438.png"
5,KS Airee,23,Right hand Bat,Right arm Medium,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362504.4.jpg"
6,Basir Ahamad,20,Left hand Bat,Slow Left arm Orthodox,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
7,B Bhandari,34,Right hand Bat,Right arm Bowler,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321740.png"
8,S Bhari,29,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330478.png"
9,K Bhurtel,27,Right hand Bat,Legbreak Googly,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330443.png"
10,Bikram Sob,31,Right hand BatRight arm Fast medium,Unknown,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330300/330381.png"
11,R Dhakal,,Right hand Bat,Left arm Medium,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
12,S Dhakal,22,Right hand Bat,Slow Left arm Orthodox,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
13,S Dhamala,27,Right hand Bat,Right arm Offbreak,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/260000/260036.1.jpg"
14,H Dhami,17,Right hand Bat,Right arm Medium fast,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
15,Gulsan Jha,18,Left hand Bat,Right arm Medium,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330440.png"
16,S Jora,22,Right hand Bat,Unknown,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362506.3.jpg"
17,Karan KC,32,Right hand Bat,Right arm Fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330442.png"
18,SP Khakurel,36,Right hand Bat,Unknown,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321758.png"
19,D Khanal,18,Right hand Bat,Right arm Offbreak,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
20,Kushal Malla,20,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330446.png"
21,S Lamichhane,23,Right hand Bat,Legbreak Googly,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330467.png"
22,K Mahato,23,Right hand Bat,Right arm Medium fast,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362800/362810.1.png"
23,G Malla,33,Right hand Bat,Top order Batter,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330441.png"
24,RK Paudel,21,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330466.png"
25,Pratis GC,19,Right hand Bat,Left arm Medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362505.3.jpg"
26,LN Rajbanshi,25,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321747.png"
27,AK Sah,25,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321735.png"
28,P Sarraf,23,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330465.png"
29,A Saud,20,Right hand Bat,Unknown,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362503.4.jpg"
30,H Shah,,Left hand Bat,Unknown,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
31,Sompal Kami,28,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330477.png"
32,B Sharki,22,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362502.4.jpg"
33,Surya Tamang,22,Left hand Bat,Slow Left arm Orthodox,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
34,S Vesawkar,35,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330469.png"
35,A Bhattarai,33,Right hand Bat,Left arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321734.png"
36,NB Budayair,32,Right hand Bat,Right arm Bowler,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/148400/148419.jpg"
37,A Bohara,26,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321400/321434.png"
38,SM Dhakal,23,Right hand Bat,Right arm Offbreak,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362507.3.jpg"
39,A Karn,29,Right hand Bat,Left arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321737.png"
40,P Khadka,36,Right hand Bat,"Right arm Medium fast,",Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321749.png"
41,Lokesh Bam,,Unknown,Unknown,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
42,RP Magar,31,Right hand Bat,Legbreak Googly,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/148400/148426.jpg"
43,AK Mandal,33,Right hand Bat,Unknown,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321736.png"
44,JK Mukhiya,31,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321744.png"
45,D Nath,26,Left hand Bat,Unknown,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/278800/278816.1.jpg"
46,I Pandey,26,Left hand Bat,Unknown,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321743.png"
47,Rashid Khan,23,Right hand Bat,Right arm Medium fast,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc
48,B Regmi,37,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321738.png"
