Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
Mohammad Aadil Alam,2022-2022,6,5,1,70,36,17.5,90.9,-,-,-
Aakash Chand,2024-2024,2,-,-,-,-,-,-,-,-,-
Aarif Sheikh,2018-2024,50,42,5,942,66,25.45,63.05,-,6,4
Aasif Sheikh,2021-2024,48,48,4,1384,110,31.45,77.18,1,12,5
DS Airee,2018-2024,54,52,6,895,105,19.45,71.77,1,3,8
KS Airee,2020-2022,3,3,2,27,18*,27,112.5,-,-,1
Basir Ahamad,2022-2022,3,2,-,3,3,1.5,23.07,-,-,1
B Bhandari,2019-2022,17,14,-,275,59,19.64,59.65,-,1,-
LS Bhandari,2018-2018,1,1,1,4,4*,-,44.44,-,-,-
S Bhari,2020-2022,11,7,5,24,11,12,44.44,-,-,-
K Bhurtel,2021-2024,51,50,-,1153,115,23.06,84.09,1,7,7
Bikram Sob,2021-2022,5,4,1,4,2,1.33,23.52,-,-,-
A Bohara,2020-2020,2,2,2,13,8*,-,92.85,-,-,-
R Dhakal,2024-2024,2,1,-,4,4,4,100,-,-,-
S Dhakal,2022-2022,8,6,5,7,4*,7,17.07,-,-,-
S Dhamala,2022-2022,1,1,-,12,12,12,31.57,-,-,-
H Dhami,2024-2024,1,-,-,-,-,-,-,-,-,-
SP Gauchan,2018-2018,1,1,1,9,9*,-,20.45,-,-,-
Gulsan Jha,2021-2024,26,21,5,509,67*,31.81,74.74,-,3,-
S Jora,2019-2023,5,5,-,56,28,11.2,83.58,-,-,-
Karan KC,2018-2024,50,35,8,386,42,14.29,83.54,-,-,4
P Khadka,2018-2020,10,10,1,315,115,35,79.14,1,1,-
SP Khakurel,2018-2022,6,6,-,97,50,16.16,50.25,-,1,1
D Khanal,2022-2024,14,12,-,329,76,27.41,69.11,-,3,2
Kushal Malla,2020-2024,35,31,3,714,108,25.5,97.14,1,4,1
S Lamichhane,2018-2023,51,35,8,376,35*,13.92,82.81,-,-,7
K Mahato,2022-2023,2,2,2,1,1*,-,10,-,-,-
G Malla,2018-2023,37,37,1,876,75,24.33,66.46,-,7,3
RK Paudel,2018-2024,60,57,5,1570,126,30.19,75.22,1,9,5
Pratis GC,2023-2023,3,1,1,11,11*,-,183.33,-,-,-
LN Rajbanshi,2019-2024,28,15,9,37,11,6.16,30.08,-,-,2
B Regmi,2018-2019,4,4,-,13,12,3.25,27.65,-,-,2
Sagar Pun,2018-2018,1,1,-,3,3,3,15,-,-,-
AK Sah,2018-2024,9,9,2,259,112*,37,105.28,1,2,1
P Sarraf,2019-2024,12,10,1,72,15,8,62.06,-,-,2
A Saud,2022-2023,9,9,-,174,51,19.33,50,-,1,2
H Shah,2022-2022,3,3,1,9,8,4.5,36,-,-,-
B Sharki,2022-2024,24,21,3,670,101*,37.22,68.15,1,3,1
Sompal Kami,2018-2024,54,42,14,596,63*,21.28,73.39,-,2,2
Surya Tamang,2024-2024,2,1,1,10,10*,-,31.25,-,-,-
S Vesawkar,2018-2021,4,4,1,66,55,22,43.7,-,1,-
