Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
Mohammad Aadil Alam,2022-2022,8,8,1,110,31,15.71,142.85,-,-,-
Aarif Sheikh,2018-2024,33,26,6,436,39*,21.8,108.18,-,-,1
Aasif Sheikh,2021-2024,37,37,2,837,64*,23.91,118.55,-,4,3
DS Airee,2018-2024,57,50,12,1475,110*,38.81,143.62,1,8,-
KS Airee,2021-2022,10,3,-,18,13,6,100,-,-,-
PS Airee,2015-2022,12,12,-,91,29,7.58,85.04,-,-,4
Basir Ahamad,2022-2022,2,1,1,-,0*,-,-,-,-,-
B Bhandari,2014-2023,36,28,7,332,58*,15.8,108.14,-,2,1
K Bhurtel,2021-2024,32,32,4,927,104*,33.1,131.3,1,7,2
A Bohara,2019-2024,51,14,9,22,12,4.4,78.57,-,-,3
S Dhakal,2022-2022,2,-,-,-,-,-,-,-,-,-
SM Dhakal,2023-2023,2,-,-,-,-,-,-,-,-,-
Gulsan Jha,2022-2024,18,13,4,217,54,24.11,140.9,-,1,-
S Jora,2019-2024,20,16,3,202,53*,15.53,110.98,-,1,1
Karan KC,2015-2024,59,34,12,385,45,17.5,157.14,-,-,2
Kushal Malla,2019-2024,32,29,9,685,137*,34.25,170.39,1,4,3
S Lamichhane,2018-2023,51,18,7,60,16*,5.45,90.9,-,-,2
Lokesh Bam,2022-2022,8,6,1,66,33,13.2,122.22,-,-,1
G Malla,2014-2022,45,39,1,883,107,23.23,120.29,1,2,1
JK Mukhiya,2014-2022,10,3,2,6,5,6,50,-,-,-
D Nath,2022-2022,4,3,1,15,15*,7.5,136.36,-,-,2
RK Paudel,2019-2024,38,37,7,927,61,30.9,128.75,-,6,-
Pratis GC,2023-2024,4,2,2,1,1*,-,33.33,-,-,-
LN Rajbanshi,2018-2024,15,2,1,3,3,3,42.85,-,-,-
AK Sah,2018-2024,2,1,-,23,23,23,135.29,-,-,-
P Sarraf,2019-2022,17,16,2,145,27*,10.35,91.77,-,-,4
A Saud,2022-2022,3,3,-,70,35,23.33,111.11,-,-,-
Shahab Alam,2021-2022,6,1,1,-,0*,-,-,-,-,-
Sompal Kami,2014-2024,59,34,9,295,40,11.8,114.34,-,-,3
S Vesawkar,2014-2022,20,19,5,325,40,23.21,99.08,-,-,-
B Yadav,2022-2024,14,7,1,65,39,10.83,112.06,-,-,-
