Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Mohammad Aadil Alam,2022-2022,6,6,264,5,166,6,3/31,27.66,3.77,44.0,-,-,1,-
Aakash Chand,2024-2024,2,2,78,-,82,2,1/31,41,6.30,39.0,-,-,1,-
Aarif Sheikh,2018-2024,50,26,669,2,529,6,1/16,88.16,4.74,111.5,-,-,23,-
Aasif Sheikh,2021-2024,48,-,0,-,-,-,-,-,-,-,-,-,34,5
DS Airee,2018-2024,54,48,1886,17,1239,37,3/18,33.48,3.94,50.9,-,-,27,-
KS Airee,2020-2022,3,3,114,-,109,2,2/56,54.5,5.73,57.0,-,-,-,-
Basir Ahamad,2022-2022,3,3,111,-,71,2,1/18,35.5,3.83,55.5,-,-,-,-
B Bhandari,2019-2022,17,-,0,-,-,-,-,-,-,-,-,-,21,1
LS Bhandari,2018-2018,1,1,54,-,43,2,2/43,21.5,4.77,27.0,-,-,-,-
S Bhari,2020-2022,11,11,422,5,273,15,4/5,18.2,3.88,28.1,-,-,3,-
K Bhurtel,2021-2024,51,13,306,1,248,11,4/20,22.54,4.86,27.8,-,-,37,-
Bikram Sob,2021-2022,5,5,127,2,115,5,2/20,23,5.43,25.4,-,-,1,-
A Bohara,2020-2020,2,2,66,2,51,-,-,-,4.63,-,-,-,-,-
R Dhakal,2024-2024,2,2,84,-,75,1,1/34,75,5.35,84.0,-,-,-,-
S Dhakal,2022-2022,8,7,229,1,148,4,2/31,37,3.87,57.2,-,-,1,-
S Dhamala,2022-2022,1,-,0,-,-,-,-,-,-,-,-,-,-,-
H Dhami,2024-2024,1,1,48,-,49,3,3/49,16.33,6.12,16.0,-,-,-,-
SP Gauchan,2018-2018,1,1,24,-,15,-,-,-,3.75,-,-,-,1,-
Gulsan Jha,2021-2024,26,25,723,2,760,21,3/28,36.19,6.30,34.4,-,-,5,-
S Jora,2019-2023,5,-,0,-,-,-,-,-,-,-,-,-,1,-
Karan KC,2018-2024,50,50,2150,26,1896,74,5/33,25.62,5.29,29.0,3,-,7,-
P Khadka,2018-2020,10,9,372,2,243,9,4/26,27,3.91,41.3,-,-,7,-
SP Khakurel,2018-2022,6,-,0,-,-,-,-,-,-,-,-,-,-,1
D Khanal,2022-2024,14,2,18,-,20,-,-,-,6.66,-,-,-,9,-
Kushal Malla,2020-2024,35,29,1021,11,743,24,2/6,30.95,4.36,42.5,-,-,6,-
S Lamichhane,2018-2023,51,50,2774,28,2023,112,6/11,18.06,4.37,24.7,3,-,8,-
K Mahato,2022-2023,2,2,78,1,76,2,2/55,38,5.84,39.0,-,-,-,-
G Malla,2018-2023,37,2,18,-,18,1,1/6,18,6.00,18.0,-,-,13,-
RK Paudel,2018-2024,60,9,282,3,172,9,4/22,19.11,3.65,31.3,-,-,14,-
Pratis GC,2023-2023,3,3,126,-,90,2,1/37,45,4.28,63.0,-,-,1,-
LN Rajbanshi,2019-2024,28,24,1176,13,742,36,5/20,20.61,3.78,32.6,1,-,7,-
B Regmi,2018-2019,4,4,174,-,117,4,2/49,29.25,4.03,43.5,-,-,-,-
Sagar Pun,2018-2018,1,-,0,-,-,-,-,-,-,-,-,-,-,-
AK Sah,2018-2024,9,-,0,-,-,-,-,-,-,-,-,-,4,-
P Sarraf,2019-2024,12,10,322,3,251,6,2/45,41.83,4.67,53.6,-,-,4,-
A Saud,2022-2023,9,-,0,-,-,-,-,-,-,-,-,-,5,2
H Shah,2022-2022,3,3,60,1,55,-,-,-,5.50,-,-,-,1,-
B Sharki,2022-2024,24,1,6,-,8,-,-,-,8.00,-,-,-,7,-
Sompal Kami,2018-2024,54,54,2385,34,2038,71,5/33,28.7,5.12,33.5,1,-,12,-
Surya Tamang,2024-2024,2,2,90,1,78,1,1/46,78,5.20,90.0,-,-,-,-
S Vesawkar,2018-2021,4,1,36,1,21,2,2/21,10.5,3.50,18.0,-,-,1,-
