Player,Span,Matches,Innings,Not Outs,Runs,Highest Score,Average Score,Strike Rate,Century,Half-Century,Zero Run Outs
Mohammad Aadil Alam,2022-2022,6,5,1,70,36,17.5,90.9,-,-,-
Aakash Chand,2024-2024,2,-,-,-,-,-,-,-,-,-
Aarif Sheikh,2018-2024,51,43,5,964,66,25.36,62.43,-,6,4
Aasif Sheikh,2021-2024,49,49,4,1401,110,31.13,76.97,1,12,5
DS Airee,2018-2024,55,53,6,896,105,19.06,71.22,1,3,8
KS Airee,2020-2022,3,3,2,27,18*,27,112.5,-,-,1
Basir Ahamad,2022-2022,3,2,-,3,3,1.5,23.07,-,-,1
B Bhandari,2019-2022,17,14,-,275,59,19.64,59.65,-,1,-
LS Bhandari,2018-2018,1,1,1,4,4*,-,44.44,-,-,-
S Bhari,2020-2022,11,7,5,24,11,12,44.44,-,-,-
K Bhurtel,2021-2024,52,51,-,1219,115,23.9,83.26,1,8,7
Bikram Sob,2021-2022,5,4,1,4,2,1.33,23.52,-,-,-
A Bohara,2020-2020,2,2,2,13,8*,-,92.85,-,-,-
R Dhakal,2024-2024,2,1,-,4,4,4,100,-,-,-
S Dhakal,2022-2022,8,6,5,7,4*,7,17.07,-,-,-
S Dhamala,2022-2022,1,1,-,12,12,12,31.57,-,-,-
H Dhami,2024-2024,1,-,-,-,-,-,-,-,-,-
SP Gauchan,2018-2018,1,1,1,9,9*,-,20.45,-,-,-
Gulsan Jha,2021-2024,27,22,5,514,67*,30.23,73.63,-,3,-
S Jora,2019-2023,5,5,-,56,28,11.2,83.58,-,-,-
Karan KC,2018-2024,51,36,8,412,42,14.71,84.25,-,-,4
P Khadka,2018-2020,10,10,1,315,115,35,79.14,1,1,-
SP Khakurel,2018-2022,6,6,-,97,50,16.16,50.25,-,1,1
D Khanal,2022-2024,14,12,-,329,76,27.41,69.11,-,3,2
Kushal Malla,2020-2024,36,32,3,716,108,24.68,96.23,1,4,1
S Lamichhane,2018-2023,51,35,8,376,35*,13.92,82.81,-,-,7
K Mahato,2022-2023,2,2,2,1,1*,-,10,-,-,-
G Malla,2018-2023,37,37,1,876,75,24.33,66.46,-,7,3
RK Paudel,2018-2024,61,58,5,1586,126,29.92,74.56,1,9,5
Pratis GC,2023-2023,3,1,1,11,11*,-,183.33,-,-,-
LN Rajbanshi,2019-2024,29,16,10,37,11,6.16,29.13,-,-,2
B Regmi,2018-2019,4,4,-,13,12,3.25,27.65,-,-,2
Sagar Pun,2018-2018,1,1,-,3,3,3,15,-,-,-
AK Sah,2018-2024,10,10,2,266,112*,33.25,103.5,1,2,1
P Sarraf,2019-2024,12,10,1,72,15,8,62.06,-,-,2
A Saud,2022-2023,9,9,-,174,51,19.33,50,-,1,2
H Shah,2022-2022,3,3,1,9,8,4.5,36,-,-,-
B Sharki,2022-2024,25,22,3,670,101*,35.26,67.6,1,3,2
Sompal Kami,2018-2024,54,42,14,596,63*,21.28,73.39,-,2,2
Surya Tamang,2024-2024,2,1,1,10,10*,-,31.25,-,-,-
S Vesawkar,2018-2021,4,4,1,66,55,22,43.7,-,1,-
