Player,Span,Matches,Innings,Not Outs,Runs,Highest Score,Average Score,Strike Rate,Century,Half-Century,Zero Run Outs
Mohammad Aadil Alam,2022-2022,8,8,1,110,31,15.71,142.85,-,-,-
Aakash Chand,2024-2024,1,1,-,2,2,2,40,-,-,-
Aarif Sheikh,2018-2024,35,28,6,474,39*,21.54,111.52,-,-,2
Aasif Sheikh,2021-2024,38,38,2,884,64*,24.55,118.97,-,4,3
DS Airee,2018-2024,58,51,12,1476,110*,37.84,143.3,1,8,-
KS Airee,2021-2022,10,3,-,18,13,6,100,-,-,-
PS Airee,2015-2022,12,12,-,91,29,7.58,85.04,-,-,4
Basir Ahamad,2022-2022,2,1,1,-,0*,-,-,-,-,-
B Bhandari,2014-2024,37,29,7,374,58*,17,113.67,-,2,1
K Bhurtel,2021-2024,34,34,4,949,104*,31.63,131.8,1,7,2
A Bohara,2019-2024,52,14,9,22,12,4.4,78.57,-,-,3
S Dhakal,2022-2024,3,1,1,-,0*,-,-,-,-,-
SM Dhakal,2023-2023,2,-,-,-,-,-,-,-,-,-
Gulsan Jha,2022-2024,20,15,4,259,54,23.54,139.24,-,1,-
S Jora,2019-2024,21,17,3,204,53*,14.57,109.67,-,1,1
Karan KC,2015-2024,60,35,12,394,45,17.13,158.23,-,-,2
Kushal Malla,2019-2024,33,30,9,711,137*,33.85,172.15,1,4,3
S Lamichhane,2018-2023,51,18,7,60,16*,5.45,90.9,-,-,2
Lokesh Bam,2022-2022,8,6,1,66,33,13.2,122.22,-,-,1
G Malla,2014-2022,45,39,1,883,107,23.23,120.29,1,2,1
JK Mukhiya,2014-2022,10,3,2,6,5,6,50,-,-,-
D Nath,2022-2022,4,3,1,15,15*,7.5,136.36,-,-,2
RK Paudel,2019-2024,40,39,7,982,61,30.68,128.87,-,6,-
Pratis GC,2023-2024,6,4,3,7,6*,7,77.77,-,-,1
LN Rajbanshi,2018-2024,15,2,1,3,3,3,42.85,-,-,-
Rashid Khan,2019-2024,2,1,-,3,3,3,60,-,-,-
AK Sah,2018-2024,2,1,-,23,23,23,135.29,-,-,-
P Sarraf,2019-2022,17,16,2,145,27*,10.35,91.77,-,-,4
A Saud,2022-2022,3,3,-,70,35,23.33,111.11,-,-,-
Shahab Alam,2021-2022,6,1,1,-,0*,-,-,-,-,-
Sompal Kami,2014-2024,60,35,10,301,40,12.04,114.44,-,-,3
S Vesawkar,2014-2022,20,19,5,325,40,23.21,99.08,-,-,-
B Yadav,2022-2024,15,8,1,66,39,9.42,104.76,-,-,-
