,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Nepal,U.A.E.,U.A.E.,78 runs,Kuala Lumpur,"Aug 30, 2018",ODI # 4034
1,Netherlands,Nepal,Nepal,1 run,Amstelveen,"Aug 3, 2018",ODI # 4028
2,Netherlands,Nepal,Netherlands,55 runs,Amstelveen,"Aug 1, 2018",ODI # 4026
3,U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,"Jan 28, 2019",ODI # 4089
4,U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,"Jan 26, 2019",ODI # 4086
5,U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,"Jan 25, 2019",ODI # 4083
6,Nepal,U.S.A.,Nepal,8 wickets,Kirtipur,"Feb 12, 2020",ODI # 4245
7,Nepal,Oman,Oman,8 wickets,Kirtipur,"Feb 9, 2020",ODI # 4241
8,Nepal,U.S.A.,Nepal,35 runs,Kirtipur,"Feb 8, 2020",ODI # 4240
9,Nepal,Oman,Oman,18 runs,Kirtipur,"Feb 5, 2020",ODI # 4236
10,Oman,Nepal,Nepal,7 wickets,Al Amerat,"Sep 19, 2021",ODI # 4328
11,Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat,"Sep 17, 2021",ODI # 4327
12,Oman,Nepal,Oman,5 wickets,Al Amerat,"Sep 14, 2021",ODI # 4325
13,Nepal,U.S.A.,Nepal,5 wickets,Al Amerat,"Sep 13, 2021",ODI # 4324
14,Nepal,P.N.G.,Nepal,151 runs,Al Amerat,"Sep 10, 2021",ODI # 4322
15,Nepal,P.N.G.,Nepal,2 wickets,Al Amerat,"Sep 7, 2021",ODI # 4317
16,Nepal,Scotland,Scotland,8 wickets,Windhoek,"Dec 8, 2022",ODI # 4498
17,Namibia,Nepal,Namibia,86 runs,Windhoek,"Dec 7, 2022",ODI # 4497
18,Nepal,Scotland,Scotland,3 wickets,Windhoek,"Dec 4, 2022",ODI # 4494
19,Namibia,Nepal,no result,-,Windhoek,"Dec 2, 2022",ODI # 4492
20,Nepal,U.A.E.,Nepal,6 wickets,Kirtipur,"Nov 18, 2022",ODI # 4476
21,Nepal,U.A.E.,Nepal,3 wickets,Kirtipur,"Nov 16, 2022",ODI # 4474
22,Nepal,U.A.E.,U.A.E.,84 runs,Kirtipur,"Nov 14, 2022",ODI # 4473
23,Scotland,Nepal,Scotland,8 wickets,Glasgow,"Jul 17, 2022",ODI # 4432
24,Namibia,Nepal,Namibia,63 runs,Ayr,"Jul 16, 2022",ODI # 4430
25,Scotland,Nepal,Nepal,5 wickets,Glasgow,"Jul 13, 2022",ODI # 4425
26,Namibia,Nepal,Namibia,40 runs,Ayr,"Jul 11, 2022",ODI # 4422
27,U.S.A.,Nepal,U.S.A.,39 runs,Pearland,"Jun 15, 2022",ODI # 4411
28,Nepal,Oman,Nepal,7 wickets,Pearland,"Jun 14, 2022",ODI # 4410
29,U.S.A.,Nepal,tied,-,Pearland,"Jun 11, 2022",ODI # 4406
30,Nepal,Oman,Oman,13 runs,Pearland,"Jun 9, 2022",ODI # 4404
31,Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur,"Mar 26, 2022",ODI # 4377
32,Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur,"Mar 25, 2022",ODI # 4376
33,Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC),"Mar 22, 2022",ODI # 4374
