Name,Age,Batting Style,Bowling Style,Playing Order,Photo,Full name,District
Mohammad Aadil Alam,20.0,Right hand Bat,Right arm Medium,Unknown,https://imgs.search.brave.com/jk-RJyuIuL3aE-bwY-n2x_d1WfZdMwlI5yRnHdPqPhs/rs:fit:860:0:0/g:ce/aHR0cHM6Ly91cGxv/YWQud2lraW1lZGlh/Lm9yZy93aWtpcGVk/aWEvY29tbW9ucy90/aHVtYi84LzgzL01v/aGFtbWFkX0FhZGls/X0FsYW0uanBnLzUx/MnB4LU1vaGFtbWFk/X0FhZGlsX0FsYW0u/anBn,Mohammad Aadil Alam,Bara
Aakash Chand,19.0,Right hand Bat,Right arm Medium,Unknown,https://cricnepal-media.s3.ap-south-1.amazonaws.com/assets/Aakash-Chand-nepal-cricket-player-image-20240114.png,Aakash Chand,Kanchanpur
Aarif Sheikh,26.0,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/349200/349282.png",Aarif Sheikh,Birgunj
Aasif Sheikh,22.0,Right hand Bat,Unknown,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330462.png",Aasif Sheikh,Birgunj
DS Airee,24.0,Right hand Bat,Right arm Medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330438.png",DS Airee,Kanchanpur
KS Airee,23.0,Right hand Bat,Right arm Medium,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362504.4.jpg",KS Airee,Kanchanpur
Basir Ahamad,20.0,Left hand Bat,Slow Left arm Orthodox,Unknown,https://imgs.search.brave.com/XLS7UX2I0_zgE8zZvkHJexzTMUI3VyAIsKCZ7GzlP3w/rs:fit:860:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudGhlbm91bnBy/b2plY3QuY29tL3Bu/Zy8xMDk1ODY3LTIw/MC5wbmc,Basir Ahamad,Kapilvastu
B Bhandari,34.0,Right hand Bat,Right arm Bowler,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321740.png",Binod Bhandari,Kanchanpur
S Bhari,29.0,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330478.png",Sushan Bhari,Palpa
K Bhurtel,27.0,Right hand Bat,Legbreak Googly,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330443.png",Kushal Bhurtel,Rupandehi
Bikram Sob,31.0,Right hand BatRight arm Fast medium,Unknown,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330300/330381.png",Bikram Sob,Kanchanpur
R Dhakal,,Right hand Bat,Left arm Medium,Unknown,https://cricnepal-media.s3.ap-south-1.amazonaws.com/assets/Rijan-Dhakal-Biratnagar-Super-Kings-2022.png,Rijan Dhakal,Unknown
S Dhakal,22.0,Right hand Bat,Slow Left arm Orthodox,Unknown,https://cricnepal-media.s3.ap-south-1.amazonaws.com/assets/Sagar-Dhakal-nepalcricket-265a10db3550eb36becfdb21ed5a0714.webp,Sagar Dhakal,Sarlahi
S Dhamala,27.0,Right hand Bat,Right arm Offbreak,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/260000/260036.1.jpg",Sunil Dhamala,Kalikot
H Dhami,17.0,Right hand Bat,Right arm Medium fast,Unknown,https://cricnepal-media.s3.ap-south-1.amazonaws.com/assets/Hemant-Dhami-Nepal-Cricket-Profile.png,Hemanta Dhami,Kanchanpur
Gulsan Jha,18.0,Left hand Bat,Right arm Medium,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330440.png",Gulsan Jha,Sarlahi
S Jora,22.0,Right hand Bat,Unknown,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362506.3.jpg",Sundeep Jora,Kanchanpur
Karan KC,32.0,Right hand Bat,Right arm Fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330442.png",Karan KC,Baglung
SP Khakurel,36.0,Right hand Bat,Unknown,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321758.png",SP Khakurel,Kathmandu
D Khanal,18.0,Right hand Bat,Right arm Offbreak,Unknown,https://cricnepal-media.s3.ap-south-1.amazonaws.com/assets/Dev-Khanal-nepal-cricket-player-image-20240114.png,Dev Khanal,Rupandehi
Kushal Malla,20.0,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330446.png",Kushal Malla,Rupandehi
S Lamichhane,23.0,Right hand Bat,Legbreak Googly,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330467.png",Sandeep Lamichhane,Syangja
K Mahato,23.0,Right hand Bat,Right arm Medium fast,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362800/362810.1.png",Kishor Mahato,Unknown
G Malla,33.0,Right hand Bat,Top order Batter,Unknown,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330441.png",Gynendra Malla,Kathmandu
RK Paudel,21.0,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330466.png",Rohit Kumar Paudel,Nawalparasi
Pratis GC,19.0,Right hand Bat,Left arm Medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362505.3.jpg",Pratis GC,Kathmandu
LN Rajbanshi,25.0,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321747.png",Lalit Rajbanshi,Biratnagar
AK Sah,25.0,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321735.png",Anil Sah,Bara
P Sarraf,23.0,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330465.png",Pawan Sarraf,Bara
A Saud,20.0,Right hand Bat,Unknown,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362503.4.jpg",Arjun Saud,Dhangadhi
H Shah,,Left hand Bat,Unknown,Unknown,https://cricnepal-media.s3.ap-south-1.amazonaws.com/assets/Hari-Shankar-Sah-nepalcricket-994c75c052d0e5f338e1ac209b9f9e16.webp,Hari Shanker Shah,Janakpur
Sompal Kami,28.0,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330477.png",Sompal Kami,Gulmi
B Sharki,22.0,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362502.4.jpg",Bhim Sharki,Kanchanpur
Surya Tamang,22.0,Left hand Bat,Slow Left arm Orthodox,Unknown,https://cricnepal-media.s3.ap-south-1.amazonaws.com/assets/Surya-Tamang-Nepal-Cricket-DP.webp,Surya Tamang,Bhaktapur
